,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
80,1203,0,NA,NA,0,0,0,0,-0.6,0.4,0,0,0.4,0,0.4,0.25,0,0,0,0,1,1,NA,NA,NA,NA,NA
81,1204,0,NA,NA,0,0,0,0,0,0.6,1,0.6,0.4,1,0,NA,NA,0,-1,0,0,1,NA,NA,NA,NA,NA
82,1206,0,0,0,0,-1,0,0.25,NA,0.2,1,0,0,1,-0.2,NA,NA,0,0,0,0,0,0,0,0,NA,-1
83,1214,1,NA,NA,0.5,0.5,1,0.5,NA,0.6,0.6,-0.4,-0.4,-0.4,-0.4,NA,NA,1,1,1,1,0.25,1,1,1,0,0
84,1217,0,0,0,0,0,0,0,0,NA,NA,NA,-0.4,0.6,-0.4,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
85,1218,0,-0.25,NA,0,1,0.8,0,1,NA,0.2,NA,0,0.2,0.4,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
86,1220,1,0,0,0,-0.25,-1,0.25,0,0,-0.2,-0.4,0,0,0,0,NA,0,-1,-0.2,0.75,0,0.6,0.6,0.75,0.75,0.75
87,1221,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.4,-0.4,0.2,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
88,1224,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0.2,0.2,0,0,0
89,1226,0,-0.5,-0.5,NA,NA,-1,0,0.6,0,-1,0,NA,-1,0,-1,-1,0,-0.5,0,0,0,NA,NA,NA,NA,NA
90,1227,0,-0.25,0,0,0,NA,1,NA,0,0,0,0,0,NA,NA,NA,-1,-1,0,1,0.25,0,0,0,NA,0
91,1228,0,NA,NA,0.25,0.5,NA,0,NA,NA,NA,NA,0.2,0.2,-0.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1235,NA,0.75,NA,0,NA,1,0,-0.6,0.6,1,0.6,0.6,NA,0.6,NA,NA,NA,0,NA,NA,NA,1,NA,1,1,NA
