BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience,LogCheck
1055,Daily,Weekly,Daily,Daily,Seasonally,Daily,Daily,Never,Daily,Weekly,Never,Daily,Daily,Daily,Monthly,Daily,Weekly,Daily,Daily,Daily,Daily,Monthly,Never,Never,Daily,Daily,Daily,Daily,Never,Weekly,Never,Weekly,35-44,15-20Y,Y
1057,Seasonally,Daily,Never,Never,Annually,Not applicable,Not applicable,Never,Daily,Seasonally,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,NA,NA,NA,Daily,Never,Daily,Never,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,NA,20+Y,
1058,Daily,Daily,Monthly,Never,Monthly,Daily,Never,Never,Daily,Weekly,Never,Never,Daily,Daily,Monthly,Daily,Monthly,Daily,Daily,Not applicable,Not applicable,Not applicable,Never,Never,Monthly,Never,Never,NA,NA,NA,NA,NA,44-54,20+Y,Y
1067,Daily,Daily,Seasonally,Not applicable,Annually,Seasonally,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Not applicable,Not applicable,35-44,15-20Y,
1068,Daily,Weekly,Daily,Weekly,Weekly,Weekly,Weekly,Daily,Daily,Weekly,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Never,Daily,Never,Never,55+,20+Y,
1070,Daily,Monthly,Seasonally,Never,Seasonally,Never,Never,Never,Seasonally,Seasonally,Never,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Never,Never,Weekly,Weekly,Never,Daily,Never,Never,Never,Never,44-54,10-15Y,
1073,Daily,Never,Weekly,Never,Never,Never,Never,Never,Daily,Seasonally,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Weekly,Never,Daily,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,
1075,Daily,Not applicable,Weekly,Never,Weekly,Seasonally,Seasonally,Never,Daily,Monthly,Never,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Weekly,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,15-20Y,
1080,Daily,No understanding,Seasonally,Seasonally,Seasonally,Seasonally,Seasonally,Never,Daily,Seasonally,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Never,Never,Seasonally,Weekly,Never,Never,Seasonally,Seasonally,55+,10-15Y,
1082,Daily,Daily,Daily,Daily,Daily,Weekly,Monthly,Daily,Never,Seasonally,Weekly,Daily,Daily,Weekly,Daily,Never,Daily,Daily,Daily,Weekly,Never,Daily,Daily,Never,Daily,Daily,Monthly,Daily,Daily,Monthly,Monthly,Monthly,44-54,20+Y,
1084,Monthly,Weekly,Monthly,Monthly,Monthly,Never,Never,Never,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Never,Never,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,35-44,10-15Y,
1087,Daily,Not applicable,Daily,Never,Never,Daily,Never,Never,Not applicable,Seasonally,Never,Daily,Daily,Daily,Daily,Monthly,Never,Daily,Daily,Daily,Daily,Not applicable,Daily,Daily,Never,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1091,Daily,Daily,Never,Never,Never,Never,Never,Never,Daily,Weekly,Never,Daily,Daily,Daily,Monthly,Monthly,Monthly,Daily,Daily,Never,Never,Monthly,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Never,55+,20+Y,
1096,Weekly,Daily,NA,NA,NA,Daily,Not applicable,Daily,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Not applicable,Not applicable,Daily,Daily,Seasonally,Seasonally,Never,Daily,Never,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1098,Daily,Daily,Seasonally,Not applicable,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Seasonally,Not applicable,Seasonally,44-54,15-20Y,
1099,Daily,Weekly,Weekly,Not applicable,Seasonally,Daily,Not applicable,Not applicable,Daily,Not applicable,Not applicable,Daily,Not applicable,Monthly,Seasonally,Not applicable,Seasonally,Daily,Daily,Daily,Not applicable,Monthly,Daily,Daily,Daily,Not applicable,Not applicable,Daily,Not applicable,Daily,Daily,Daily,44-54,20+Y,
1101,Daily,Monthly,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Weekly,NA,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Annually,Annually,44-54,10-15Y,Y
1102,Daily,Never,Weekly,Weekly,Weekly,Weekly,Weekly,Never,Never,Weekly,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,Y
1103,Daily,Monthly,Seasonally,Seasonally,Seasonally,Daily,Seasonally,Daily,Daily,Seasonally,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Never,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
